	Opt.	CR	FP
X^2	3	41	18
X^3	2	29	12
X^4	2	26	9
X^5	1	23	8
X^6	2	19	6
X^7	1	28	8
X^8	1	9	1

X^0	2	285	139
X^1	2	284	141
X^2	2	282	139
X^3	3	283	140
X^4	2	281	143
X^5	1	279	143
X^6	2	280	134
X^7	1	269	128
X^8	0	282	139

X^0	4	17	6
X^1	4	18	4
X^2	4	19	5
X^3	1	21	8
X^4	2	15	11
X^5	2	16	8
X^6	2	4	2
X^7	1	10	6
X^8	0	16	8

X^0	2	43	20
X^1	8	44	29
X^2	1	36	22
X^3	2	28	21
X^4	1	25	13
X^5	0	16	10
X^6	0	22	12
X^7	0	0	0
X^8	6	28	17

X^0	2	15	5
X^1	2	14	3
X^2	2	16	7
X^3	1	14	2
X^4	0	11	0
X^5	2	13	2
X^6	1	13	1
X^7	1	12	4
X^8	1	12	4

X^0	5	51	19
X^1	3	46	15
X^2	2	42	14
X^3	2	42	16
X^4	2	36	11
X^5	2	33	11
X^6	0	31	6
X^7	0	26	8
X^8	0	21	5

X^0	2	20	10
X^1	2	19	10
X^2	3	19	11
X^3	1	15	8
X^4	1	12	6
X^5	3	14	10
X^6	1	13	9
X^7	3	9	6
X^8	0	15	6

X^0	3	202	99
X^1	3	203	100
X^2	4	205	103
X^3	5	201	102
X^4	3	188	96
X^5	3	170	86
X^6	1	168	88
X^7	0	80	66
X^8	1	93	78

X^0	3	84	55
X^1	3	84	54
X^2	3	85	53
X^3	3	85	52
X^4	3	88	55
X^5	3	78	52
X^6	3	72	45
X^7	3	56	49
X^8	0	59	31

X^0	4	22	8
X^1	4	19	7
X^2	4	15	4
X^3	5	16	6
X^4	4	13	4
X^5	5	14	5
X^6	4	14	4
X^7	3	4	3
X^8	0	13	2

X^0	4	43	13
X^1	4	37	12
X^2	4	35	11
X^3	4	35	11
X^4	4	39	14
X^5	4	36	20
X^6	4	31	11
X^7	4	32	16
X^8	0	29	14

X^0	5	28	14
X^1	5	27	11
X^2	5	24	11
X^3	5	24	10
X^4	5	21	11
X^5	2	25	13
X^6	2	24	13
X^7	0	14	12
X^8	1	22	10

X^0	2	119	58
X^1	2	137	64
X^2	2	135	65
X^3	2	126	63
X^4	6	108	49
X^5	4	117	55
X^6	2	96	52
X^7	2	62	52
X^8	0	52	32

X^0	1	40	19
X^1	1	39	21
X^2	1	39	21
X^3	8	48	27
X^4	1	39	21
X^5	1	34	22
X^6	2	27	22
X^7	0	25	18
X^8	0	0	0

X^0	1	129	68
X^1	1	133	70
X^2	7	137	71
X^3	1	132	67
X^4	3	134	69
X^5	4	136	71
X^6	1	133	67
X^7	0	66	65
X^8	2	76	68

X^0	1	49	24
X^1	4	51	24
X^2	1	46	19
X^3	1	45	20
X^4	0	42	19
X^5	2	39	20
X^6	5	38	22
X^7	5	20	9
X^8	3	35	20

X^0	2	1096	553
X^1	3	1095	546
X^2	3	1080	533
X^3	3	1077	537
X^4	3	1082	538
X^5	0	969	537
X^6	3	1082	536
X^7	0	545	538
X^8	0	566	544

X^0	3	166	79
X^1	2	168	78
X^2	2	167	78
X^3	1	163	79
X^4	2	159	78
X^5	1	154	73
X^6	1	139	71
X^7	1	68	57
X^8	1	5	1

X^0	2	49	25
X^1	2	48	29
X^2	3	48	31
X^3	2	43	27
X^4	2	41	25
X^5	2	37	26
X^6	2	53	26
X^7	2	31	29
X^8	1	41	23

X^0	1	61	36
X^1	1	61	36
X^2	1	58	33
X^3	1	54	24
X^4	1	46	19
X^5	1	36	16
X^6	1	33	19
X^7	1	16	8
X^8	0	29	16

X^0	2	69	37
X^1	4	68	35
X^2	3	67	34
X^3	2	59	33
X^4	2	36	33
X^5	1	36	28
X^6	2	2	2
X^7	2	2	2
X^8	0	0	0

X^0	2	471	236
X^1	2	468	234
X^2	2	465	231
X^3	2	465	232
X^4	4	466	237
X^5	2	452	227
X^6	2	464	235
X^7	2	229	227
X^8	0	240	234

X^0	4	11	5
X^1	4	8	4
X^2	6	11	6
X^3	2	8	3
X^4	6	9	6
X^5	7	9	7
X^6	2	6	2
X^7	1	3	1
X^8	2	7	2

X^0	1	460	248
X^1	1	462	245
X^2	1	462	242
X^3	1	461	237
X^4	3	462	238
X^5	3	244	242
X^6	1	221	219
X^7	5	5	5
X^8	0	239	232

X^0	4	50	29
X^1	2	51	27
X^2	2	47	30
X^3	0	42	25
X^4	0	25	11
X^5	0	38	26
X^6	3	30	18
X^7	1	30	23
X^8	1	43	27

X^0	2	247	113
X^1	2	248	113
X^2	2	248	117
X^3	4	249	118
X^4	2	216	104
X^5	2	185	104
X^6	2	189	120
X^7	2	107	103
X^8	1	145	90

X^0	6	39	26
X^1	2	35	14
X^2	5	37	26
X^3	4	33	21
X^4	4	34	23
X^5	4	24	14
X^6	4	26	12
X^7	4	16	4
X^8	4	4	4

X^0	1	238	108
X^1	1	241	107
X^2	1	238	105
X^3	4	244	111
X^4	1	231	98
X^5	3	212	105
X^6	1	149	44
X^7	1	136	103
X^8	0	178	102

X^0	6	358	174
X^1	2	352	170
X^2	2	348	170
X^3	2	343	169
X^4	1	333	167
X^5	2	315	160
X^6	1	306	146
X^7	2	155	150
X^8	0	176	152

X^0	5	51	18
X^1	5	51	21
X^2	5	52	21
X^3	5	49	17
X^4	5	47	14
X^5	5	45	21
X^6	5	46	24
X^7	5	27	22
X^8	1	32	13

X^0	4	74	37
X^1	4	79	36
X^2	4	81	37
X^3	4	83	41
X^4	5	77	48
X^5	9	66	44
X^6	9	49	44
X^7	0	43	39
X^8	0	32	18

X^0	4	69	32
X^1	4	67	30
X^2	4	61	27
X^3	4	54	19
X^4	4	54	32
X^5	6	55	33
X^6	3	46	32
X^7	2	33	26
X^8	4	29	11

X^0	1	117	54
X^1	1	115	51
X^2	1	112	52
X^3	1	108	52
X^4	1	96	48
X^5	1	73	36
X^6	5	77	50
X^7	1	52	37
X^8	0	54	20

X^0	4	51	21
X^1	2	51	20
X^2	2	50	22
X^3	2	46	23
X^4	4	45	25
X^5	2	37	22
X^6	1	33	20
X^7	0	29	20
X^8	0	31	11

X^0	5	44	19
X^1	4	44	18
X^2	4	44	18
X^3	4	41	17
X^4	4	42	15
X^5	3	41	18
X^6	0	38	11
X^7	0	22	17
X^8	0	26	14

X^0	1	82	37
X^1	1	82	38
X^2	1	82	36
X^3	1	82	38
X^4	1	78	37
X^5	1	74	38
X^6	1	66	33
X^7	1	32	26
X^8	1	47	37

X^0	8	58	30
X^1	6	56	28
X^2	4	49	22
X^3	4	50	23
X^4	4	48	22
X^5	4	46	22
X^6	1	40	20
X^7	1	19	14
X^8	0	32	19

X^0	2	81	40
X^1	2	81	41
X^2	2	77	41
X^3	2	73	37
X^4	1	70	34
X^5	1	63	33
X^6	3	54	26
X^7	0	25	14
X^8	3	42	28

X^0	4	41	7
X^1	5	39	10
X^2	4	40	8
X^3	5	41	9
X^4	3	35	7
X^5	2	38	8
X^6	9	41	13
X^7	0	37	9
X^8	0	35	6

X^0	2	77	35
X^1	2	77	36
X^2	4	78	34
X^3	4	73	35
X^4	3	66	32
X^5	4	53	26
X^6	1	47	24
X^7	3	26	17
X^8	3	58	28

X^0	3	165	77
X^1	3	165	75
X^2	2	163	78
X^3	5	164	79
X^4	4	153	75
X^5	2	144	77
X^6	2	101	72
X^7	1	79	72
X^8	2	54	22

X^0	4	824	280
X^1	3	827	279
X^2	3	823	279
